"","matID","pnd","arching","nursing","licking","eating","drinking","selfgroom","Timestamp","momwgt","P0wgt","p0pups","Pups.Dead","Pat","patID"
"1",14412,1,0,0.5,0.05,0.0375,0.025,0.125,"7/15/13 17:09",22.8,3.42,1,1,"PC",14389
"2",14412,5,0.0375,0.15,0.0125,0.05,0.0125,0.025,"7/15/13 17:09",22.8,3.42,1,1,"PC",14389
"3",14412,3,0,0.3625,0.0125,0.0625,0.0125,0.05,"7/15/13 17:09",22.8,3.42,1,1,"PC",14389
"4",14412,4,0,0.525,0,0.0375,0.025,0.0125,"7/15/13 17:09",22.8,3.42,1,1,"PC",14389
"5",14412,2,0,0.4,0.1125,0.05,0,0.0125,"7/15/13 17:09",22.8,3.42,1,1,"PC",14389
"6",14413,5,0.0625,0.35,0.1125,0.0375,0.0125,0.0375,"7/20/13 16:15",27,4.1,3,1,"PC",14389
"7",14413,3,0.1375,0.325,0.1375,0.0875,0,0.0125,"7/20/13 16:15",27,4.1,3,1,"PC",14389
"8",14413,4,0.125,0.425,0.0375,0.05,0.025,0.025,"7/20/13 16:15",27,4.1,3,1,"PC",14389
"9",14413,2,0,0.475,0.0875,0.0375,0.0125,0.0375,"7/20/13 16:15",27,4.1,3,1,"PC",14389
"10",14413,1,0.025,0.6125,0.0625,0.075,0,0.0125,"7/20/13 16:15",27,4.1,3,1,"PC",14389
"11",14415,5,0.125,0.225,0.0125,0.15,0,0.0625,"7/13/13 17:06",24.2,8.39,7,0,"PC",14388
"12",14415,2,0.125,0.55,0.0375,0.05,0,0.0375,"7/13/13 17:06",24.2,8.39,7,0,"PC",14388
"13",14415,1,0.3375,0.6,0.1,0.0125,0,0.05,"7/13/13 17:06",24.2,8.39,7,0,"PC",14388
"14",14415,3,0,0.5125,0.1125,0.05,0.0125,0.0375,"7/13/13 17:06",24.2,8.39,7,0,"PC",14388
"15",14415,4,0.0125,0.4125,0.1625,0.0875,0.05,0.05,"7/13/13 17:06",24.2,8.39,7,0,"PC",14388
"16",14416,5,0.2125,0.6375,0.075,0.0125,0,0.025,"7/20/13 16:12",27.5,8.6,6,0,"PC",14388
"17",14416,2,0.0875,0.6125,0.05,0.025,0.0375,0,"7/20/13 16:12",27.5,8.6,6,0,"PC",14388
"18",14416,3,0.175,0.7125,0.1375,0.05,0.0125,0.0625,"7/20/13 16:12",27.5,8.6,6,0,"PC",14388
"19",14416,4,0.2625,0.7125,0.075,0.0125,0,0,"7/20/13 16:12",27.5,8.6,6,0,"PC",14388
"20",14416,1,0.05,0.45,0.05,0.0375,0.0125,0.05,"7/20/13 16:12",27.5,8.6,6,0,"PC",14388
"21",14418,1,0,0.575,0.0625,0.0375,0,0.0375,"7/21/13 18:43",26.6,7.4,5,0,"PC",14391
"22",14418,2,0.15,0.425,0.1375,0.0125,0.025,0.1,"7/21/13 18:43",26.6,7.4,5,0,"PC",14391
"23",14418,5,0.2375,0.35,0.075,0.0875,0.0375,0.0625,"7/21/13 18:43",26.6,7.4,5,0,"PC",14391
"24",14418,3,0.0875,0.2375,0.0375,0.0375,0.025,0.0875,"7/21/13 18:43",26.6,7.4,5,0,"PC",14391
"25",14418,4,0.225,0.375,0.0875,0.1,0,0.0875,"7/21/13 18:43",26.6,7.4,5,0,"PC",14391
"26",14419,1,0.125,0.625,0.1875,0.05,0.0125,0.0875,"7/12/13 18:52",24.3,5.8,4,0,"PC",14391
"27",14419,5,0.325,0.3875,0.0375,0.05,0.05,0.0125,"7/12/13 18:52",24.3,5.8,4,0,"PC",14391
"28",14419,3,0.2375,0.475,0.1125,0.025,0.025,0.0375,"7/12/13 18:52",24.3,5.8,4,0,"PC",14391
"29",14419,2,0.05,0.4375,0.075,0.0125,0,0,"7/12/13 18:52",24.3,5.8,4,0,"PC",14391
"30",14419,4,0.3,0.5,0.1,0.0125,0.0125,0,"7/12/13 18:52",24.3,5.8,4,0,"PC",14391
"31",14425,2,0.0125,0.4,0.0125,0.0125,0,0,"7/12/13 18:51",25.2,6.68,4,0,"PS",14400
"32",14425,1,0.0375,0.5375,0.1,0.05,0.0125,0.0375,"7/12/13 18:51",25.2,6.68,4,0,"PS",14400
"33",14425,3,0.1,0.45,0.2,0.0375,0.0375,0.0125,"7/12/13 18:51",25.2,6.68,4,0,"PS",14400
"34",14425,5,0.4,0.575,0.15,0.0625,0,0.05,"7/12/13 18:51",25.2,6.68,4,0,"PS",14400
"35",14425,4,0.05,0.5875,0.1375,0.05,0,0.025,"7/12/13 18:51",25.2,6.68,4,0,"PS",14400
"36",14426,2,0.1625,0.3375,0.1,0.05,0,0.0125,"7/20/13 16:10",28.8,10.5,9,0,"PS",14400
"37",14426,1,0.1875,0.5125,0.175,0.075,0,0.0875,"7/20/13 16:10",28.8,10.5,9,0,"PS",14400
"38",14426,3,0.1875,0.5,0.0875,0.025,0.025,0.05,"7/20/13 16:10",28.8,10.5,9,0,"PS",14400
"39",14426,5,0,0.275,0.025,0.05,0.025,0.0375,"7/20/13 16:10",28.8,10.5,9,0,"PS",14400
"40",14426,4,0.0875,0.3375,0.0625,0.0875,0.0125,0.025,"7/20/13 16:10",28.8,10.5,9,0,"PS",14400
"41",14427,2,0.35,0.625,0.175,0.025,0,0.0625,"7/22/13 16:20",24.2,8.5,6,0,"PS",14403
"42",14427,3,0.1875,0.5625,0.2125,0.075,0.0125,0.0375,"7/22/13 16:20",24.2,8.5,6,0,"PS",14403
"43",14427,4,0.3625,0.525,0.125,0.0375,0.025,0.025,"7/22/13 16:20",24.2,8.5,6,0,"PS",14403
"44",14427,5,0.1125,0.175,0.0125,0.15,0.0125,0.05,"7/22/13 16:20",24.2,8.5,6,0,"PS",14403
"45",14427,1,0.1875,0.65,0.175,0.0625,0,0.0875,"7/22/13 16:20",24.2,8.5,6,0,"PS",14403
"46",14428,5,0,0.2125,0.0125,0.05,0.0625,0.025,"7/20/13 16:07",25.3,4.6,3,0,"PS",14403
"47",14428,1,0.0125,0.575,0.025,0.025,0,0.0125,"7/20/13 16:07",25.3,4.6,3,0,"PS",14403
"48",14428,2,0,0.3,0.025,0.075,0.0125,0.0375,"7/20/13 16:07",25.3,4.6,3,0,"PS",14403
"49",14428,3,0.1125,0.3875,0.1,0.05,0.0125,0.0125,"7/20/13 16:07",25.3,4.6,3,0,"PS",14403
"50",14428,4,0.2,0.45,0.175,0.0125,0,0.0125,"7/20/13 16:07",25.3,4.6,3,0,"PS",14403
"51",14431,1,0.0125,0.725,0.025,0.025,0,0.025,"7/15/13 17:07",23.8,4.61,3,0,"PS",14402
"52",14431,2,0,0.325,0.025,0,0.0125,0.025,"7/15/13 17:07",23.8,4.61,3,0,"PS",14402
"53",14431,5,0.025,0.1,0,0.225,0.0125,0.0875,"7/15/13 17:07",23.8,4.61,3,0,"PS",14402
"54",14431,3,0.0375,0.475,0.2,0.075,0.0125,0.05,"7/15/13 17:07",23.8,4.61,3,0,"PS",14402
"55",14431,4,0,0.1875,0.0125,0.1,0.0375,0.025,"7/15/13 17:07",23.8,4.61,3,0,"PS",14402
"56",14432,1,0.0875,0.5,0.0625,0.05,0.0375,0.0375,"7/14/13 17:24",25.2,6.1,4,0,"PS",14402
"57",14432,2,0.0125,0.35,0.025,0.075,0.0125,0.0625,"7/14/13 17:24",25.2,6.1,4,0,"PS",14402
"58",14432,4,0.0125,0.1875,0.075,0.125,0.0125,0.0625,"7/14/13 17:24",25.2,6.1,4,0,"PS",14402
"59",14432,3,0.0375,0.2625,0.0625,0.1125,0.0375,0.1125,"7/14/13 17:24",25.2,6.1,4,0,"PS",14402
"60",14432,5,0,0.35,0,0.05,0.025,0.025,"7/14/13 17:24",25.2,6.1,4,0,"PS",14402
"61",14436,5,0.0375,0.425,0.0375,0.1,0.025,0.05,"7/13/13 16:55",27.7,6.54,4,0,"PC",14392
"62",14436,1,0.0625,0.6875,0.0125,0.0125,0,0,"7/13/13 16:55",27.7,6.54,4,0,"PC",14392
"63",14436,2,0.0875,0.4,0.075,0.0625,0,0.075,"7/13/13 16:55",27.7,6.54,4,0,"PC",14392
"64",14436,3,0.0125,0.3625,0.15,0.0375,0.025,0.0375,"7/13/13 16:55",27.7,6.54,4,0,"PC",14392
"65",14436,4,0.075,0.25,0.0375,0.075,0.0125,0.0375,"7/13/13 16:55",27.7,6.54,4,0,"PC",14392
"66",14437,2,0.0375,0.575,0.0875,0.0125,0,0.0125,"7/12/13 18:51",26.5,3.44,2,0,"PC",14392
"67",14437,1,0.2875,0.725,0.1,0,0,0.0125,"7/12/13 18:51",26.5,3.44,2,0,"PC",14392
"68",14437,5,0.1125,0.3625,0.075,0.0875,0.0125,0.05,"7/12/13 18:51",26.5,3.44,2,0,"PC",14392
"69",14437,3,0.1,0.5375,0.125,0.025,0,0.0375,"7/12/13 18:51",26.5,3.44,2,0,"PC",14392
"70",14437,4,0.175,0.3875,0.1375,0.0625,0,0.0375,"7/12/13 18:51",26.5,3.44,2,0,"PC",14392
"71",14438,2,0.15,0.4,0.1625,0.0375,0.025,0.0625,"7/22/13 16:22",27.6,10.8,9,0,"PC",14393
"72",14438,1,0.2625,0.5875,0.25,0.0875,0,0.075,"7/22/13 16:22",27.6,10.8,9,0,"PC",14393
"73",14438,5,0,0.1375,0.0125,0.1125,0.025,0.15,"7/22/13 16:22",27.6,10.8,9,0,"PC",14393
"74",14438,4,0.0375,0.225,0.025,0.175,0.0625,0.0625,"7/22/13 16:22",27.6,10.8,9,0,"PC",14393
"75",14438,3,0.1125,0.3375,0.1375,0.1,0.0375,0.075,"7/22/13 16:22",27.6,10.8,9,0,"PC",14393
"76",14440,3,0.2125,0.6625,0.1375,0.05,0.0125,0.0625,"7/14/13 17:20",23.3,7.3,6,0,"PC",14395
"77",14440,5,0.1,0.4375,0.1875,0.025,0.0125,0.05,"7/14/13 17:20",23.3,7.3,6,0,"PC",14395
"78",14440,1,0.0375,0.25,0.1125,0.075,0.0125,0.0625,"7/14/13 17:20",23.3,7.3,6,0,"PC",14395
"79",14440,4,0.1,0.275,0.0375,0.1,0.0125,0.1,"7/14/13 17:20",23.3,7.3,6,0,"PC",14395
"80",14444,1,0.0125,0.025,0.0125,0.0375,0,0,"7/12/13 18:53",20.5,3.78,2,1,"PC",14394
"81",14444,2,0,0.025,0,0.0125,0.0125,0.025,"7/12/13 18:53",20.5,3.78,2,1,"PC",14394
"82",14445,1,0.2375,0.6125,0.1,0.025,0,0.075,"7/13/13 16:58",26.1,10.3,9,0,"PC",14393
"83",14445,2,0.125,0.375,0.1375,0.05,0.0375,0.05,"7/13/13 16:58",26.1,10.3,9,0,"PC",14393
"84",14445,3,0.2375,0.5375,0.15,0.0875,0.0125,0.0125,"7/13/13 16:58",26.1,10.3,9,0,"PC",14393
"85",14445,5,0.175,0.2875,0.0375,0.05,0,0.05,"7/13/13 16:58",26.1,10.3,9,0,"PC",14393
"86",14445,4,0.075,0.3625,0.075,0.075,0.0125,0.0625,"7/13/13 16:58",26.1,10.3,9,0,"PC",14393
"87",14446,2,0,0.3875,0.025,0.075,0.05,0,"7/15/13 17:06",24.3,4.76,3,0,"PC",14393
"88",14446,5,0.0125,0.2,0,0.2625,0.0375,0.0125,"7/15/13 17:06",24.3,4.76,3,0,"PC",14393
"89",14446,1,0,0.525,0.05,0.0625,0,0.0125,"7/15/13 17:06",24.3,4.76,3,0,"PC",14393
"90",14446,4,0,0.525,0,0.175,0.0375,0,"7/15/13 17:06",24.3,4.76,3,0,"PC",14393
"91",14446,3,0,0.7125,0.0875,0,0.0125,0.05,"7/15/13 17:06",24.3,4.76,3,0,"PC",14393
"92",14449,3,0.05,0.4625,0.1,0.1,0.0375,0.075,"7/12/13 18:52",21.6,7.37,5,0,"PS",14406
"93",14449,1,0.1625,0.7,0.1,0.0375,0,0.05,"7/12/13 18:52",21.6,7.37,5,0,"PS",14406
"94",14449,4,0.1125,0.3375,0.1,0.1375,0.025,0.05,"7/12/13 18:52",21.6,7.37,5,0,"PS",14406
"95",14449,2,0.175,0.6375,0.1,0.025,0,0.0125,"7/12/13 18:52",21.6,7.37,5,0,"PS",14406
"96",14449,5,0.025,0.2875,0.2375,0.1875,0.05,0.0125,"7/12/13 18:52",21.6,7.37,5,0,"PS",14406
"97",14450,1,0,0.7125,0.075,0.0375,0.025,0.05,"7/12/13 18:53",21.8,3.21,2,0,"PS",14406
"98",14450,2,0.1125,0.3625,0.025,0.0375,0,0.0125,"7/12/13 18:53",21.8,3.21,2,0,"PS",14406
"99",14450,5,0,0.2625,0.0125,0.125,0.025,0.0125,"7/12/13 18:53",21.8,3.21,2,0,"PS",14406
"100",14450,4,0,0.425,0.1,0.05,0.025,0.05,"7/12/13 18:53",21.8,3.21,2,0,"PS",14406
"101",14450,3,0.05,0.1875,0.0875,0.1,0.05,0.0125,"7/12/13 18:53",21.8,3.21,2,0,"PS",14406
"102",14451,1,0.1,0.8625,0.0875,0,0,0.0125,"7/13/13 17:00",27,5.71,3,1,"PS",14407
"103",14451,2,0.025,0.4625,0.1,0.0125,0,0.05,"7/13/13 17:00",27,5.71,3,1,"PS",14407
"104",14451,5,0.025,0.5375,0.1125,0.025,0.0125,0.0125,"7/13/13 17:00",27,5.71,3,1,"PS",14407
"105",14451,3,0.0625,0.4625,0.125,0.0125,0.0125,0.0125,"7/13/13 17:00",27,5.71,3,1,"PS",14407
"106",14451,4,0.05,0.3125,0.05,0.0875,0,0.025,"7/13/13 17:00",27,5.71,3,1,"PS",14407
"107",14454,1,0.0125,0.3125,0.0375,0.025,0,0.0125,"7/23/13 13:44",25.1,10.9,10,0,"PS",14405
"108",14454,2,0,0.0125,0.0125,0.05,0,0.075,"7/23/13 13:44",25.1,10.9,10,0,"PS",14405
"109",14454,3,0,0,0,0.0375,0,0.075,"7/23/13 13:44",25.1,10.9,10,0,"PS",14405
"110",14454,5,0,0,0,0.1125,0,0.075,"7/23/13 13:44",25.1,10.9,10,0,"PS",14405
"111",14454,4,0,0,0,0.05,0.0375,0.0625,"7/23/13 13:44",25.1,10.9,10,0,"PS",14405
"112",14455,1,0.1375,0.6625,0.1375,0.025,0.025,0.0625,"7/12/13 18:51",27.3,4.58,3,0,"PS",14405
"113",14455,2,0.1,0.575,0.05,0.025,0,0.025,"7/12/13 18:51",27.3,4.58,3,0,"PS",14405
"114",14455,5,0.125,0.275,0.125,0.0375,0,0.0125,"7/12/13 18:51",27.3,4.58,3,0,"PS",14405
"115",14455,3,0.225,0.425,0.0625,0.05,0.025,0.05,"7/12/13 18:51",27.3,4.58,3,0,"PS",14405
"116",14455,4,0.1375,0.375,0.1375,0.0125,0,0.025,"7/12/13 18:51",27.3,4.58,3,0,"PS",14405
"117",14460,1,0.2,0.7125,0.1625,0.05,0,0.0625,"7/21/13 18:41",29.5,15.1,11,0,"PC",14398
"118",14460,5,0.2125,0.3625,0.0875,0.0875,0.025,0.075,"7/21/13 18:41",29.5,15.1,11,0,"PC",14398
"119",14460,3,0.2625,0.4875,0.175,0.0375,0.025,0.0625,"7/21/13 18:41",29.5,15.1,11,0,"PC",14398
"120",14460,2,0.4625,0.7875,0.2125,0.025,0.0375,0.0875,"7/21/13 18:41",29.5,15.1,11,0,"PC",14398
"121",14460,4,0.1375,0.3375,0.0875,0.0875,0.0125,0.0875,"7/21/13 18:41",29.5,15.1,11,0,"PC",14398
"122",14462,1,0.1875,0.775,0.325,0.0375,0,0.0875,"7/12/13 18:51",26.7,12.82,10,0,"PC",14398
"123",14462,4,0.225,0.45,0.0875,0.1125,0,0.0375,"7/12/13 18:51",26.7,12.82,10,0,"PC",14398
"124",14462,2,0.3,0.525,0.0375,0.0125,0.0125,0.025,"7/12/13 18:51",26.7,12.82,10,0,"PC",14398
"125",14462,5,0.1625,0.3,0.0375,0.1,0.0125,0.075,"7/12/13 18:51",26.7,12.82,10,0,"PC",14398
"126",14462,3,0.25,0.425,0.1375,0.0125,0.0125,0.0375,"7/12/13 18:51",26.7,12.82,10,0,"PC",14398
"127",14463,1,0.35,0.625,0.075,0.05,0.025,0.0875,"7/26/13 16:01",28,10.5,6,0,"PC",14397
"128",14463,2,0.0375,0.175,0.025,0.2,0.025,0.0375,"7/26/13 16:01",28,10.5,6,0,"PC",14397
"129",14463,3,0.05,0.1125,0.0375,0.175,0.0125,0.25,"7/26/13 16:01",28,10.5,6,0,"PC",14397
"130",14464,1,0.075,0.6625,0.2,0.025,0.025,0.025,"7/23/13 15:51",27.8,7.9,5,1,"PC",14397
"131",14464,3,0,0.3125,0.175,0.0875,0.025,0.025,"7/23/13 15:51",27.8,7.9,5,1,"PC",14397
"132",14464,2,0.0125,0.25,0.0625,0.1,0.0375,0.075,"7/23/13 15:51",27.8,7.9,5,1,"PC",14397
"133",14464,5,0.075,0.1625,0.05,0.1875,0.025,0.05,"7/23/13 15:51",27.8,7.9,5,1,"PC",14397
"134",14464,4,0.125,0.55,0.1375,0.1375,0,0.0125,"7/23/13 15:51",27.8,7.9,5,1,"PC",14397
"135",14465,1,0.3875,0.8375,0.25,0.0125,0,0.0625,"7/14/13 17:26",27.3,8.6,6,0,"PC",14397
"136",14465,5,0.1375,0.2625,0.0875,0.1375,0.0375,0.0375,"7/14/13 17:26",27.3,8.6,6,0,"PC",14397
"137",14465,2,0.2375,0.7,0.1,0.025,0.0125,0.0375,"7/14/13 17:26",27.3,8.6,6,0,"PC",14397
"138",14465,4,0.2625,0.4875,0.125,0.15,0,0.0375,"7/14/13 17:26",27.3,8.6,6,0,"PC",14397
"139",14465,3,0.0375,0.4625,0.1,0.0875,0.025,0.0375,"7/14/13 17:26",27.3,8.6,6,0,"PC",14397
"140",14466,2,0.0875,0.2625,0.0125,0.0875,0.025,0.0375,"7/26/13 16:00",26.2,4.8,3,0,"PC",14399
"141",14466,1,0.175,0.3875,0.0375,0.025,0.025,0.0625,"7/26/13 16:00",26.2,4.8,3,0,"PC",14399
"142",14466,3,0.0125,0.125,0.0875,0.15,0.0125,0.025,"7/26/13 16:00",26.2,4.8,3,0,"PC",14399
"143",14468,1,0,0.5375,0.1125,0.025,0.025,0.05,"7/16/13 21:42",27.5,7.6,4,0,"PC",14399
"144",14468,4,0.1875,0.6125,0.0375,0.0375,0.0125,0,"7/16/13 21:42",27.5,7.6,4,0,"PC",14399
"145",14468,5,0.1375,0.5875,0.075,0.0625,0,0.0375,"7/16/13 21:42",27.5,7.6,4,0,"PC",14399
"146",14468,3,0,0.3125,0,0.075,0.0125,0.0125,"7/16/13 21:42",27.5,7.6,4,0,"PC",14399
"147",14468,2,0,0.375,0.0375,0.05,0.025,0.025,"7/16/13 21:42",27.5,7.6,4,0,"PC",14399
"148",14469,2,0.5,0.75,0.4125,0.05,0.0125,0.0625,"7/22/13 16:24",29.7,12.3,10,1,"PC",14396
"149",14469,4,0.175,0.4,0.125,0.1375,0.0125,0.0625,"7/22/13 16:24",29.7,12.3,10,1,"PC",14396
"150",14469,1,0.35,0.4875,0.175,0.0875,0.025,0.0875,"7/22/13 16:24",29.7,12.3,10,1,"PC",14396
"151",14469,3,0.25,0.3375,0.075,0.0875,0.025,0.0625,"7/22/13 16:24",29.7,12.3,10,1,"PC",14396
"152",14469,5,0.3875,0.5375,0.05,0.1,0.025,0.0125,"7/22/13 16:24",29.7,12.3,10,1,"PC",14396
"153",14470,1,0.0125,0.5125,0.075,0.025,0,0.1,"7/24/13 15:51",26.3,4.2,2,0,"PC",14396
"154",14470,2,0,0.35,0.05,0.075,0.025,0.0625,"7/24/13 15:51",26.3,4.2,2,0,"PC",14396
"155",14470,5,0.0375,0.325,0.125,0.075,0,0.0625,"7/24/13 15:51",26.3,4.2,2,0,"PC",14396
"156",14470,3,0.0125,0.425,0.15,0,0.025,0.0125,"7/24/13 15:51",26.3,4.2,2,0,"PC",14396
"157",14470,4,0.0375,0.4875,0.025,0.0875,0.0125,0.025,"7/24/13 15:51",26.3,4.2,2,0,"PC",14396
"158",14471,1,0.1625,0.575,0.05,0.0625,0.025,0.025,"7/13/13 17:03",27.5,11.33,9,0,"PC",14396
"159",14471,4,0,0.35,0.1,0.0875,0.025,0.05,"7/13/13 17:03",27.5,11.33,9,0,"PC",14396
"160",14471,5,0.0125,0.25,0,0.0875,0,0.0625,"7/13/13 17:03",27.5,11.33,9,0,"PC",14396
"161",14471,3,0.2875,0.3625,0.05,0.0625,0.0125,0.05,"7/13/13 17:03",27.5,11.33,9,0,"PC",14396
"162",14471,2,0.1,0.375,0.1625,0.0875,0.0375,0.075,"7/13/13 17:03",27.5,11.33,9,0,"PC",14396
"163",14473,1,0,0,0,0.0375,0,0.0625,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"164",14473,3,0,0,0,0.0625,0.0125,0.025,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"165",14473,2,0,0.0125,0,0,0,0.1125,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"166",14473,5,0,0,0,0.0625,0.025,0.025,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"167",14473,4,0,0,0,0.0125,0,0.0625,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"168",14479,5,0.0625,0.275,0.0125,0.0875,0,0.0875,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"169",14479,1,0.0375,0.75,0.075,0.0125,0,0.0125,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"170",14479,2,0.125,0.6,0.1375,0.0875,0.0125,0.0125,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"171",14479,4,0.2,0.375,0.0375,0.075,0.0125,0.0375,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"172",14479,3,0.1,0.375,0,0.0125,0.0125,0.025,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"173",14481,2,0,0.175,0.0375,0.0375,0.0125,0.0375,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"174",14481,5,0.175,0.3,0,0.1375,0.075,0,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"175",14481,1,0.175,0.675,0.1875,0.0375,0.0125,0.0625,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"176",14481,4,0.225,0.5625,0.1,0.0625,0.0125,0.1,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"177",14481,3,0.0625,0.275,0.0375,0.0875,0.05,0.0625,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"178",14482,4,0.025,0.1875,0.05,0.0125,0,0.1125,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"179",14482,3,0.125,0.85,0.1125,0.0125,0,0.1625,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"180",14482,2,0.1125,0.6125,0.125,0,0,0.05,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"181",14482,1,0.225,0.7125,0.2625,0.0875,0,0,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"182",14482,5,0,0.1125,0,0.0875,0,0.15,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"183",14483,4,0,0.0125,0,0.025,0,0.025,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"184",14483,3,0,0.175,0.0125,0.05,0,0.0375,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"185",14483,2,0.2,0.5125,0.175,0.075,0.0125,0.0125,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"186",14483,1,0.05,0.45,0.2,0.0625,0,0.0625,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"187",14483,5,0,0,0,0.075,0,0.05,"7/15/13 17:12",23,3.47,2,0,"PS",14410
